From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,GeneName
A0A0C4DH67,A0A0C4DH67,reviewed,KV108_HUMAN,Immunoglobulin kappa variable 1-8,IGKV1-8,Homo sapiens (Human),115,IGKV1-8
Q9NV70,Q9NV70,reviewed,EXOC1_HUMAN,Exocyst complex component 1 (Exocyst complex component Sec3),EXOC1 SEC3 SEC3L1 BM-012,Homo sapiens (Human),894,EXOC1
P03950,P03950,reviewed,ANGI_HUMAN,Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5),ANG RNASE5,Homo sapiens (Human),147,ANG
O15371,O15371,reviewed,EIF3D_HUMAN,Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66),EIF3D EIF3S7,Homo sapiens (Human),548,EIF3D
P21281,P21281,reviewed,VATB2_HUMAN,"V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)",ATP6V1B2 ATP6B2 VPP3,Homo sapiens (Human),511,ATP6V1B2
P62879,P62879,reviewed,GBB2_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (G protein subunit beta-2) (Transducin beta chain 2),GNB2,Homo sapiens (Human),340,GNB2
Q9ULB1,Q9ULB1,reviewed,NRX1A_HUMAN,Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha),NRXN1 KIAA0578,Homo sapiens (Human),1477,NRXN1
Q13177,Q13177,reviewed,PAK2_HUMAN,Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)],PAK2,Homo sapiens (Human),524,PAK2
Q00887,Q00887,reviewed,PSG9_HUMAN,Pregnancy-specific beta-1-glycoprotein 9 (PS-beta-G-9) (PSBG-9) (Pregnancy-specific glycoprotein 9) (PS34) (Pregnancy-specific beta-1 glycoprotein B) (PS-beta-B) (Pregnancy-specific beta-1-glycoprotein 11) (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific glycoprotein 7) (PSG7),PSG9 PSG11,Homo sapiens (Human),426,PSG9
Q96JJ3,Q96JJ3,reviewed,ELMO2_HUMAN,Engulfment and cell motility protein 2 (Protein ced-12 homolog A) (hCed-12A),ELMO2 CED12A KIAA1834,Homo sapiens (Human),720,ELMO2
Q9NS69,Q9NS69,reviewed,TOM22_HUMAN,Mitochondrial import receptor subunit TOM22 homolog (hTom22) (1C9-2) (Translocase of outer membrane 22 kDa subunit homolog),TOMM22 TOM22,Homo sapiens (Human),142,TOMM22
Q96C19,Q96C19,reviewed,EFHD2_HUMAN,EF-hand domain-containing protein D2 (Swiprosin-1),EFHD2 SWS1,Homo sapiens (Human),240,EFHD2
P09668,P09668,reviewed,CATH_HUMAN,Pro-cathepsin H [Cleaved into: Cathepsin H mini chain; Cathepsin H (EC 3.4.22.16); Cathepsin H heavy chain; Cathepsin H light chain],CTSH CPSB,Homo sapiens (Human),335,CTSH
Q9NRX4,Q9NRX4,reviewed,PHP14_HUMAN,14 kDa phosphohistidine phosphatase (EC 3.9.1.3) (Phosphohistidine phosphatase 1) (PHPT1) (Protein histidine phosphatase) (PHP) (Protein janus-A homolog),PHPT1 PHP14 CGI-202 HSPC141,Homo sapiens (Human),125,PHPT1
P14550,P14550,reviewed,AK1A1_HUMAN,Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20) (S-nitroso-CoA reductase) (ScorR) (EC 1.6.-.-),AKR1A1 ALDR1 ALR,Homo sapiens (Human),325,AKR1A1
P62736,P62736,reviewed,ACTA_HUMAN,"Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]",ACTA2 ACTSA ACTVS GIG46,Homo sapiens (Human),377,ACTA2
Q99728,Q99728,reviewed,BARD1_HUMAN,BRCA1-associated RING domain protein 1 (BARD-1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BARD1),BARD1,Homo sapiens (Human),777,BARD1
Q96D15,Q96D15,reviewed,RCN3_HUMAN,Reticulocalbin-3 (EF-hand calcium-binding protein RLP49),RCN3 UNQ239/PRO272,Homo sapiens (Human),328,RCN3
Q9UBV8,Q9UBV8,reviewed,PEF1_HUMAN,Peflin (PEF protein with a long N-terminal hydrophobic domain) (Penta-EF hand domain-containing protein 1),PEF1 ABP32 UNQ1845/PRO3573,Homo sapiens (Human),284,PEF1
A0A0C4DH33,A0A0C4DH33,reviewed,HV124_HUMAN,Immunoglobulin heavy variable 1-24,IGHV1-24,Homo sapiens (Human),117,IGHV1-24
P19827,P19827,reviewed,ITIH1_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1) (Inter-alpha-trypsin inhibitor complex component III) (Serum-derived hyaluronan-associated protein) (SHAP),ITIH1 IGHEP1,Homo sapiens (Human),911,ITIH1
Q8WUJ3,Q8WUJ3,reviewed,CEMIP_HUMAN,Cell migration-inducing and hyaluronan-binding protein (EC 3.2.1.35) (Hyaluronan binding protein involved in hyaluronan depolymerization),CEMIP HYBID KIAA1199,Homo sapiens (Human),1361,CEMIP
Q5T6F0,Q5T6F0,reviewed,DCA12_HUMAN,DDB1- and CUL4-associated factor 12 (Centrosome-related protein TCC52) (Testis cancer centrosome-related protein) (WD repeat-containing protein 40A),DCAF12 KIAA1892 TCC52 WDR40A,Homo sapiens (Human),453,DCAF12
P10909,P10909,reviewed,CLUS_HUMAN,"Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain) (SP-40,40 beta-chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain) (SP-40,40 alpha-chain)]",CLU APOJ CLI KUB1 AAG4,Homo sapiens (Human),449,CLU
P30622,P30622,reviewed,CLIP1_HUMAN,CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin),CLIP1 CYLN1 RSN,Homo sapiens (Human),1438,CLIP1
P01817,P01817,reviewed,HV205_HUMAN,Immunoglobulin heavy variable 2-5 (Ig heavy chain V-II region HE) (Ig heavy chain V-II region MCE),IGHV2-5,Homo sapiens (Human),119,IGHV2-5
Q9NR46,Q9NR46,reviewed,SHLB2_HUMAN,Endophilin-B2 (SH3 domain-containing GRB2-like protein B2),SH3GLB2 KIAA1848 PP578,Homo sapiens (Human),395,SH3GLB2
P09874,P09874,reviewed,PARP1_HUMAN,"Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)]",PARP1 ADPRT PPOL,Homo sapiens (Human),1014,PARP1
P51153,P51153,reviewed,RAB13_HUMAN,Ras-related protein Rab-13 (EC 3.6.5.2) (Cell growth-inhibiting gene 4 protein),RAB13 GIG4,Homo sapiens (Human),203,RAB13
Q9NPF2,Q9NPF2,reviewed,CHSTB_HUMAN,Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1),CHST11,Homo sapiens (Human),352,CHST11
P16234,P16234,reviewed,PGFRA_HUMAN,Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a),PDGFRA PDGFR2 RHEPDGFRA,Homo sapiens (Human),1089,PDGFRA
Q01973,Q01973,reviewed,ROR1_HUMAN,"Inactive tyrosine-protein kinase transmembrane receptor ROR1 (Neurotrophic tyrosine kinase, receptor-related 1)",ROR1 NTRKR1,Homo sapiens (Human),937,ROR1
Q92963,Q92963,reviewed,RIT1_HUMAN,GTP-binding protein Rit1 (EC 3.6.5.2) (Ras-like protein expressed in many tissues) (Ras-like without CAAX protein 1),RIT1 RIBB RIT ROC1,Homo sapiens (Human),219,RIT1
Q8TBE9,Q8TBE9,reviewed,NANP_HUMAN,N-acylneuraminate-9-phosphatase (EC 3.1.3.29) (Haloacid dehalogenase-like hydrolase domain-containing protein 4) (HDHD4) (N-acetylneuraminate-9-phosphate phosphatase) (Neu5Ac-9-Pase),NANP C20orf147 HDHD4,Homo sapiens (Human),248,NANP
P57075,P57075,reviewed,UBS3A_HUMAN,Ubiquitin-associated and SH3 domain-containing protein A (Cbl-interacting protein 4) (CLIP4) (Suppressor of T-cell receptor signaling 2) (STS-2) (T-cell ubiquitin ligand 1) (TULA-1),UBASH3A STS2,Homo sapiens (Human),661,UBASH3A
O15335,O15335,reviewed,CHAD_HUMAN,Chondroadherin (Cartilage leucine-rich protein),CHAD SLRR4A,Homo sapiens (Human),359,CHAD
Q9NY15,Q9NY15,reviewed,STAB1_HUMAN,"Stabilin-1 (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 1) (FEEL-1) (MS-1 antigen)",STAB1 FEEL1 KIAA0246,Homo sapiens (Human),2570,STAB1
P25325,P25325,reviewed,THTM_HUMAN,3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2),MPST TST2,Homo sapiens (Human),297,MPST
P48509,P48509,reviewed,CD151_HUMAN,CD151 antigen (GP27) (Membrane glycoprotein SFA-1) (Platelet-endothelial tetraspan antigen 3) (PETA-3) (Tetraspanin-24) (Tspan-24) (CD antigen CD151),CD151 TSPAN24,Homo sapiens (Human),253,CD151
P30041,P30041,reviewed,PRDX6_HUMAN,Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (24 kDa protein) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Glutathione-dependent peroxiredoxin) (Liver 2D page spot 40) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx) (Red blood cells page spot 12),PRDX6 AOP2 KIAA0106,Homo sapiens (Human),224,PRDX6
O00461,O00461,reviewed,GOLI4_HUMAN,"Golgi integral membrane protein 4 (Golgi integral membrane protein, cis) (GIMPc) (Golgi phosphoprotein 4) (Golgi-localized phosphoprotein of 130 kDa) (Golgi phosphoprotein of 130 kDa)",GOLIM4 GIMPC GOLPH4 GPP130,Homo sapiens (Human),696,GOLIM4
Q15166,Q15166,reviewed,PON3_HUMAN,Serum paraoxonase/lactonase 3 (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1),PON3,Homo sapiens (Human),354,PON3
P06241,P06241,reviewed,FYN_HUMAN,Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn),FYN,Homo sapiens (Human),537,FYN
Q13642,Q13642,reviewed,FHL1_HUMAN,Four and a half LIM domains protein 1 (FHL-1) (Skeletal muscle LIM-protein 1) (SLIM) (SLIM-1),FHL1 SLIM1,Homo sapiens (Human),323,FHL1
Q9UIJ7,Q9UIJ7,reviewed,KAD3_HUMAN,"GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (Adenylate kinase 3 alpha-like 1) (Adenylate kinase isozyme 3)",AK3 AK3L1 AK6 AKL3L,Homo sapiens (Human),227,AK3
Q6WKZ4,Q6WKZ4,reviewed,RFIP1_HUMAN,Rab11 family-interacting protein 1 (Rab11-FIP1) (Rab-coupling protein),RAB11FIP1 RCP,Homo sapiens (Human),1283,RAB11FIP1
Q6XZB0,Q6XZB0,reviewed,LIPI_HUMAN,Lipase member I (LIPI) (EC 3.1.1.-) (Cancer/testis antigen 17) (CT17) (LPD lipase) (Membrane-associated phosphatidic acid-selective phospholipase A1-beta) (mPA-PLA1 beta),LIPI LPDL PRED5,Homo sapiens (Human),460,LIPI
Q04760,Q04760,reviewed,LGUL_HUMAN,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase),GLO1,Homo sapiens (Human),184,GLO1
Q9HC84,Q9HC84,reviewed,MUC5B_HUMAN,"Mucin-5B (MUC-5B) (Cervical mucin) (High molecular weight salivary mucin MG1) (Mucin-5 subtype B, tracheobronchial) (Sublingual gland mucin)",MUC5B MUC5,Homo sapiens (Human),5762,MUC5B
Q9UNN8,Q9UNN8,reviewed,EPCR_HUMAN,Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Endothelial cell protein C receptor) (CD antigen CD201),PROCR EPCR,Homo sapiens (Human),238,PROCR
O43306,O43306,reviewed,ADCY6_HUMAN,Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase),ADCY6 KIAA0422,Homo sapiens (Human),1168,ADCY6
O60701,O60701,reviewed,UGDH_HUMAN,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22),UGDH,Homo sapiens (Human),494,UGDH
O15230,O15230,reviewed,LAMA5_HUMAN,Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha),LAMA5 KIAA0533 KIAA1907,Homo sapiens (Human),3695,LAMA5
Q9Y6M1,Q9Y6M1,reviewed,IF2B2_HUMAN,Insulin-like growth factor 2 mRNA-binding protein 2 (IGF2 mRNA-binding protein 2) (IMP-2) (Hepatocellular carcinoma autoantigen p62) (IGF-II mRNA-binding protein 2) (VICKZ family member 2),IGF2BP2 IMP2 VICKZ2,Homo sapiens (Human),599,IGF2BP2
Q8N3T1,Q8N3T1,reviewed,GLT15_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 15 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 2) (GalNAc-T-like protein 2) (pp-GaNTase-like protein 2) (Polypeptide N-acetylgalactosaminyltransferase-like protein 2) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2),GALNT15 GALNTL2 UNQ770/PRO1564,Homo sapiens (Human),639,GALNT15
Q9UFN0,Q9UFN0,reviewed,NPS3A_HUMAN,Protein NipSnap homolog 3A (NipSnap3A) (Protein NipSnap homolog 4) (NipSnap4) (Target for Salmonella secreted protein C) (TassC),NIPSNAP3A NIPSNAP4 HSPC299,Homo sapiens (Human),247,NIPSNAP3A
Q92824,Q92824,reviewed,PCSK5_HUMAN,Proprotein convertase subtilisin/kexin type 5 (EC 3.4.21.-) (Proprotein convertase 5) (PC5) (Proprotein convertase 6) (PC6) (hPC6) (Subtilisin/kexin-like protease PC5),PCSK5 PC5 PC6,Homo sapiens (Human),1860,PCSK5
P42566,P42566,reviewed,EPS15_HUMAN,Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p),EPS15 AF1P,Homo sapiens (Human),896,EPS15
O60568,O60568,reviewed,PLOD3_HUMAN,"Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]",PLOD3,Homo sapiens (Human),738,PLOD3
Q02388,Q02388,reviewed,CO7A1_HUMAN,Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen),COL7A1,Homo sapiens (Human),2944,COL7A1
Q9H9K5,Q9H9K5,reviewed,MER34_HUMAN,"Endogenous retroviral envelope protein HEMO (Endogenous retrovirus group MER34 member 1 Env polyprotein) (HERV-MER_4q12 provirus ancestral Env polyprotein) (Human endogenous MER34 (medium-reiteration-frequency-family-34) open reading frame) (Human endogenous MER34 ORF) (HEMO) [Cleaved into: Endogenous retroviral envelope protein HEMO, secreted form (Endogenous retroviral envelope protein HEMO, 48 kDa form)]",ERVMER34-1 HEMO LP9056,Homo sapiens (Human),563,ERVMER34-1
O14594,O14594,reviewed,NCAN_HUMAN,Neurocan core protein (Chondroitin sulfate proteoglycan 3),NCAN CSPG3 NEUR,Homo sapiens (Human),1321,NCAN
Q9Y4W6,Q9Y4W6,reviewed,AFG32_HUMAN,Mitochondrial inner membrane m-AAA protease component AFG3L2 (EC 3.4.24.-) (EC 3.6.-.-) (AFG3-like protein 2) (Paraplegin-like protein),AFG3L2,Homo sapiens (Human),797,AFG3L2
Q96CS3,Q96CS3,reviewed,FAF2_HUMAN,FAS-associated factor 2 (UBX domain-containing protein 3B) (UBX domain-containing protein 8),FAF2 ETEA KIAA0887 UBXD8 UBXN3B,Homo sapiens (Human),445,FAF2
Q8NGJ5,Q8NGJ5,reviewed,O51L1_HUMAN,Olfactory receptor 51L1 (Olfactory receptor OR11-31),OR51L1,Homo sapiens (Human),315,OR51L1
Q8N392,Q8N392,reviewed,RHG18_HUMAN,Rho GTPase-activating protein 18 (MacGAP) (Rho-type GTPase-activating protein 18),ARHGAP18,Homo sapiens (Human),663,ARHGAP18
P63096,P63096,reviewed,GNAI1_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-1 (EC 3.6.5.-) (Adenylate cyclase-inhibiting G alpha protein),GNAI1,Homo sapiens (Human),354,GNAI1
P25942,P25942,reviewed,TNR5_HUMAN,Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40),CD40 TNFRSF5,Homo sapiens (Human),277,CD40
O00264,O00264,reviewed,PGRC1_HUMAN,Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA),PGRMC1 HPR6.6 PGRMC,Homo sapiens (Human),195,PGRMC1
Q14651,Q14651,reviewed,PLSI_HUMAN,Plastin-1 (Intestine-specific plastin) (I-plastin),PLS1,Homo sapiens (Human),629,PLS1
P57737,P57737,reviewed,CORO7_HUMAN,Coronin-7 (Crn7) (70 kDa WD repeat tumor rejection antigen homolog),CORO7,Homo sapiens (Human),925,CORO7
Q96RL7,Q96RL7,reviewed,VP13A_HUMAN,Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein) (Chorein) (Vacuolar protein sorting-associated protein 13A),VPS13A CHAC KIAA0986,Homo sapiens (Human),3174,VPS13A
Q9UHD1,Q9UHD1,reviewed,CHRD1_HUMAN,Cysteine and histidine-rich domain-containing protein 1 (CHORD domain-containing protein 1) (CHORD-containing protein 1) (CHP-1) (Protein morgana),CHORDC1 CHP1,Homo sapiens (Human),332,CHORDC1
O75695,O75695,reviewed,XRP2_HUMAN,Protein XRP2,RP2,Homo sapiens (Human),350,RP2
O75023,O75023,reviewed,LIRB5_HUMAN,Leukocyte immunoglobulin-like receptor subfamily B member 5 (CD85 antigen-like family member C) (Leukocyte immunoglobulin-like receptor 8) (LIR-8) (CD antigen CD85c),LILRB5 LIR8,Homo sapiens (Human),590,LILRB5
Q96BZ4,Q96BZ4,reviewed,PLD4_HUMAN,"5'-3' exonuclease PLD4 (EC 3.1.16.1) ((S,S)-bis(monoacylglycero)phosphate synthase PLD4) (EC 3.1.4.-) (Phospholipase D family member 4) (Phospholipase D4)",PLD4 C14orf175 UNQ2488/PRO5775,Homo sapiens (Human),506,PLD4
P09622,P09622,reviewed,DLDH_HUMAN,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)",DLD GCSL LAD PHE3,Homo sapiens (Human),509,DLD
Q13526,Q13526,reviewed,PIN1_HUMAN,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1),PIN1,Homo sapiens (Human),163,PIN1
Q99943,Q99943,reviewed,PLCA_HUMAN,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 1) (1-AGP acyltransferase 1) (1-AGPAT 1) (Lysophosphatidic acid acyltransferase alpha) (LPAAT-alpha) (Protein G15),AGPAT1 G15,Homo sapiens (Human),283,AGPAT1
Q8N3K9,Q8N3K9,reviewed,CMYA5_HUMAN,Cardiomyopathy-associated protein 5 (Dystrobrevin-binding protein 2) (Genethonin-3) (Myospryn) (SPRY domain-containing protein 2) (Tripartite motif-containing protein 76),CMYA5 C5orf10 DTNBP2 SPRYD2 TRIM76,Homo sapiens (Human),4069,CMYA5
Q9NQ30,Q9NQ30,reviewed,ESM1_HUMAN,Endothelial cell-specific molecule 1 (ESM-1),ESM1,Homo sapiens (Human),184,ESM1
P01137,P01137,reviewed,TGFB1_HUMAN,Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)],TGFB1 TGFB,Homo sapiens (Human),390,TGFB1
Q9UN70,Q9UN70,reviewed,PCDGK_HUMAN,Protocadherin gamma-C3 (PCDH-gamma-C3) (Protocadherin-2) (Protocadherin-43) (PC-43),PCDHGC3 PCDH2,Homo sapiens (Human),934,PCDHGC3
P01767,P01767,reviewed,HV353_HUMAN,Immunoglobulin heavy variable 3-53 (Ig heavy chain V-III region BUT),IGHV3-53,Homo sapiens (Human),116,IGHV3-53
A0A075B7F0,A0A075B7F0,unreviewed,A0A075B7F0_HUMAN,Immunoglobulin heavy variable 3/OR16-10 (non-functional),IGHV3OR16-10,Homo sapiens (Human),116,IGHV3OR16-10
P20023,P20023,reviewed,CR2_HUMAN,Complement receptor type 2 (Cr2) (Complement C3d receptor) (Epstein-Barr virus receptor) (EBV receptor) (CD antigen CD21),CR2 C3DR,Homo sapiens (Human),1033,CR2
P11717,P11717,reviewed,MPRI_HUMAN,Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222),IGF2R MPRI,Homo sapiens (Human),2491,IGF2R
Q9NPF0,Q9NPF0,reviewed,CD320_HUMAN,CD320 antigen (8D6 antigen) (FDC-signaling molecule 8D6) (FDC-SM-8D6) (Transcobalamin receptor) (TCblR) (CD antigen CD320),CD320 8D6A UNQ198/PRO224,Homo sapiens (Human),282,CD320
P02452,P02452,reviewed,CO1A1_HUMAN,Collagen alpha-1(I) chain (Alpha-1 type I collagen),COL1A1,Homo sapiens (Human),1464,COL1A1
P50990,P50990,reviewed,TCPQ_HUMAN,T-complex protein 1 subunit theta (TCP-1-theta) (EC 3.6.1.-) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15),CCT8 C21orf112 CCTQ KIAA0002,Homo sapiens (Human),548,CCT8
P22531,P22531,reviewed,SPR2E_HUMAN,Small proline-rich protein 2E (SPR-2E) (Small proline-rich protein II) (SPR-II),SPRR2E,Homo sapiens (Human),72,SPRR2E
Q9P270,Q9P270,reviewed,SLAI2_HUMAN,SLAIN motif-containing protein 2,SLAIN2 KIAA1458,Homo sapiens (Human),581,SLAIN2
O00299,O00299,reviewed,CLIC1_HUMAN,Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),CLIC1 G6 NCC27,Homo sapiens (Human),241,CLIC1
Q8WWV6,Q8WWV6,reviewed,FCAMR_HUMAN,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor (Fc alpha/mu receptor) (CD antigen CD351),FCAMR FKSG87,Homo sapiens (Human),532,FCAMR
Q9BZQ8,Q9BZQ8,reviewed,NIBA1_HUMAN,Protein Niban 1 (Cell growth-inhibiting gene 39 protein) (Protein FAM129A),NIBAN1 C1orf24 FAM129A NIBAN GIG39,Homo sapiens (Human),928,NIBAN1
A0A0B4J2D9,A0A0B4J2D9,reviewed,KVD13_HUMAN,Immunoglobulin kappa variable 1D-13,IGKV1D-13,Homo sapiens (Human),117,IGKV1D-13
A0A0B4J1V6,A0A0B4J1V6,reviewed,HV373_HUMAN,Immunoglobulin heavy variable 3-73,IGHV3-73,Homo sapiens (Human),119,IGHV3-73
O95837,O95837,reviewed,GNA14_HUMAN,Guanine nucleotide-binding protein subunit alpha-14 (G alpha-14) (G-protein subunit alpha-14),GNA14,Homo sapiens (Human),355,GNA14
Q8N9N8,Q8N9N8,reviewed,EIF1A_HUMAN,Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin),EIF1AD,Homo sapiens (Human),165,EIF1AD
P06737,P06737,reviewed,PYGL_HUMAN,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",PYGL,Homo sapiens (Human),847,PYGL
P24534,P24534,reviewed,EF1B_HUMAN,Elongation factor 1-beta (EF-1-beta) (eEF-1B alpha),EEF1B2 EEF1B EF1B,Homo sapiens (Human),225,EEF1B2
Q9HAV0,Q9HAV0,reviewed,GBB4_HUMAN,Guanine nucleotide-binding protein subunit beta-4 (Transducin beta chain 4),GNB4,Homo sapiens (Human),340,GNB4
P01717,P01717,reviewed,LV325_HUMAN,Immunoglobulin lambda variable 3-25 (Ig lambda chain V-IV region Hil),IGLV3-25,Homo sapiens (Human),112,IGLV3-25
P02747,P02747,reviewed,C1QC_HUMAN,Complement C1q subcomponent subunit C,C1QC C1QG,Homo sapiens (Human),245,C1QC
Q12959,Q12959,reviewed,DLG1_HUMAN,Disks large homolog 1 (Synapse-associated protein 97) (SAP-97) (SAP97) (hDlg),DLG1,Homo sapiens (Human),904,DLG1
